Video ID,Title,Published Date,Views,Likes,Comments,Date,Time,Year,Month,Day,MonthName,Video Category
VJpGzNG2et4,Asking our execs to sign old photos of themselves pt. 2,2025-08-07 22:09:06+00:00,876,30,1,2025-08-07,00:00:00,2025,8,7,Aug,Community / Fun
HCD8-JqCtH0,Figma for Edu: Smart animate with Figma Design,2025-08-07 16:13:36+00:00,1878,78,31,2025-08-07,00:00:00,2025,8,7,Aug,Education
Jp4A18QQz64,Office Hours: Introducing Figma Draw,2025-08-07 13:00:39+00:00,730,26,2,2025-08-07,00:00:00,2025,8,7,Aug,Product Updates
xwkuSspWcfI,How Astra Tech aligns design and dev across MENA | Figma Customer Stories,2025-08-06 17:01:30+00:00,1539,32,0,2025-08-06,00:00:00,2025,8,6,Aug,Design & Development
1AOwk1N8cFs,Office Hours: Introducing Figma Make,2025-08-06 13:00:04+00:00,2226,71,3,2025-08-06,00:00:00,2025,8,6,Aug,Product Updates
yw2T96J-dhI,How Figma helps On innovate at pace | Customer Stories,2025-08-05 17:01:16+00:00,3051,57,0,2025-08-05,00:00:00,2025,8,5,Aug,Other
zmNy95KSIIw,Office Hours: Introducing Figma Buzz,2025-08-05 13:41:52+00:00,1492,29,3,2025-08-05,00:00:00,2025,8,5,Aug,Product Updates
qLyv9UO51bI,Release Notes 2025: July Edition | Figma,2025-08-04 18:28:23+00:00,18763,384,42,2025-08-04,00:00:00,2025,8,4,Aug,Other
rAlNWzpGiiE,New to variable width stroke | Figma,2025-07-29 18:44:32+00:00,3895,121,12,2025-07-29,00:00:00,2025,7,29,Jul,Other
Slm6gr2ZV7k,Figma Design for beginners: Advocate sidebar — Kaitie and Lauren talk portfolios,2025-07-28 19:03:03+00:00,18780,48,3,2025-07-28,00:00:00,2025,7,28,Jul,Design & Development
Dv8tr65KIWA,Assemble the portfolio pages: Figma Design for beginners [11 of 13],2025-07-28 16:57:53+00:00,1300,28,3,2025-07-28,00:00:00,2025,7,28,Jul,Design & Development
G9ojik2MEeQ,Create the case study page: Figma Design for beginners [5 of 13],2025-07-28 16:55:29+00:00,1513,43,3,2025-07-28,00:00:00,2025,7,28,Jul,Design & Development
zzhSFobLkYw,Course overview: Figma Design for beginners [1 of 13],2025-07-28 16:53:04+00:00,6132,141,8,2025-07-28,00:00:00,2025,7,28,Jul,Design & Development
D_Hnu1f2YNY,Figma glass effect | full tutorial in related video,2025-07-22 14:05:02+00:00,8235,256,5,2025-07-22,00:00:00,2025,7,22,Jul,Other
x2LGggL6BNI,Figma Live: Shipping designs with AI at Anthropic,2025-07-21 20:12:51+00:00,11857,339,14,2025-07-21,00:00:00,2025,7,21,Jul,Design & Development
K00yhLfmwXo,BORAAAAAA,2025-07-02 18:41:01+00:00,4127,147,7,2025-07-02,00:00:00,2025,7,2,Jul,Other
2JlH9NYsNJg,Config 2025: Power of collective intelligence with Chris Lattner & Sho Kuwamoto,2025-06-26 14:07:22+00:00,1512,19,0,2025-06-26,00:00:00,2025,6,26,Jun,Other
